序号	日期	手机+账号	拍剪员	视频链接	产品	国家	GMV	出单数量	佣金	佣金GMV	GMV人民币	佣金人民币
142	2026/02/04	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602228017124937015	彩色毛巾	美国	$33.84	1	$2.59	$23.75	¥230.11	¥17.61
143	2026/02/04	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601046768524037396	经期按摩器	墨西哥	$244.66	1	$1.18	$171.55	¥97.86	¥0.47
144	2026/02/04	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7602910111362747665	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
145	2026/02/04	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7600311183077281025	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
146	2026/02/04	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600720910135463184	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
147	2026/02/04	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601055082766994689	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
148	2026/02/04	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602180942127516944	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
149	2026/02/04	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602481406287072513	经期按摩器	墨西哥	192.86	1	1.58	171.43	¥77.14	¥0.63
150	2026/02/04	29-@xfjb8xuel5	谢园园	https://www.tiktok.com/@xfjb8xuel5/video/7601420818387586311	经期按摩器	墨西哥	199.00	1	1.18	171.55	¥79.60	¥0.47
151	2026/02/04	34-@skatejoynest	邵佳运	https://www.tiktok.com/@skatejoynest/video/7602960161635847438	彩色毛巾	美国	$35.84	1	$2.59	$23.65	¥243.71	¥17.61
152	2026/02/05	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$843.12	25	$68.80	$635.60	¥5,733.22	¥467.84
153	2026/02/05	30-@styleviralfinds	赵永琪	https://www.tiktok.com/@styleviralfinds/video/7601479125999602975	彩色毛巾	美国	$69.68	2	$5.18	$48.08	¥473.82	¥35.22
154	2026/02/05	36-@la.negrita.1	刘茜	https://www.tiktok.com/@la.negrita.1/video/7502296261287021870?_r=1&_t=ZT-93gua7nPiOb	勇敢项链	美国	$10.96	1	$0.00	$10.96	¥74.53	¥0.00
155	2026/02/05	36-@la.negrita.1	历史视频	https://www.tiktok.com/@la.negrita.1/video/7551716803647409422?_r=1&_t=ZT-93guPcHBuWr	钥匙扣	美国	$8.98	1	$0.00	$8.98	¥61.06	¥0.00
156	2026/02/05	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$304.75	11	$28.08	$258.60	¥2,072.28	¥190.95
157	2026/02/05	42-@skateunboundtales	邵佳运	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$27.70	1	$2.55	$23.51	¥188.39	¥17.36
158	2026/02/05	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$27.70	1	$2.55	$23.51	¥188.39	¥17.36
159	2026/02/05	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$27.70	1	$2.55	$23.51	¥188.39	¥17.36
160	2026/02/05	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601490815260609822	彩色毛巾	美国	$59.69	2	$5.18	$48.42	¥405.89	¥35.22
161	2026/02/05	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$36.63	1	$2.86	$26.92	¥249.08	¥19.45
162	2026/02/05	08-@rawrollhisstyle	赵永琪	https://www.tiktok.com/@rawrollhisstyle/video/7576579232990579998	黑色头套	美国	$9.99	1	$0.70	$9.32	¥67.93	¥4.76
163	2026/02/05	22-@cdfbhhb4	刘茜	https://www.tiktok.com/@cdfbhhb4/video/7549061300257590541?_r=1&_t=ZT-93dCn6ynzI5	勇敢项链	美国	$9.42	1	$0.00	$3.94	¥64.02	¥0.00
164	2026/02/05	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7555800641336118583?_r=1&_t=ZT-93dCd5e1kmT	钥匙扣	美国	$9.42	1	$0.00	$3.94	¥64.02	¥0.00
165	2026/02/05	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7602910111362747665	经期按摩器	墨西哥	$189.50	1	$1.18	$171.50	¥75.80	¥0.47
166	2026/02/05	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$189.50	1	$1.18	$171.50	¥75.80	¥0.47
167	2026/02/05	@e7qbf7（已弃用）	刘茜	https://www.tiktok.com/@e7qbf7/video/7603342366023388432	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
168	2026/02/05	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7601419954721803521	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
169	2026/02/05	@dch6ck6937（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
170	2026/02/05	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601413343819222292	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
171	2026/02/05	29-@xfjb8xuel5	橱窗	橱窗	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
172	2026/02/06	@scvkwvn29752（已弃用）	赵雅如	https://www.tiktok.com/@scvkwvn29752/video/7602479563519560977	经期按摩器	墨西哥	$424.67	2	$2.36	$343.10	¥169.87	¥0.94
173	2026/02/06	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7600307929379622160	经期按摩器	墨西哥	$371.42	2	$6.52	$342.86	¥148.57	¥2.61
174	2026/02/06	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602180942127516944	经期按摩器	墨西哥	$371.42	2	$6.52	$342.86	¥148.57	¥2.61
175	2026/02/06	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$161.60	5	$14.57	$135.46	¥1,098.88	¥99.08
176	2026/02/06	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$351.75	11	$30.60	$287.50	¥2,391.90	¥208.08
177	2026/02/06	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$89.22	3	$8.26	$75.94	¥606.70	¥56.17
178	2026/02/06	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7602229279002266910	彩色毛巾	美国	$29.74	1	$2.75	$25.32	¥202.23	¥18.70
179	2026/02/06	08-@rawrollhisstyle	邵佳运	https://www.tiktok.com/@rawrollhisstyle/video/7598528243943148830	玫瑰熊	美国	$39.98	2	$5.80	$36.18	¥271.86	¥39.44
180	2026/02/06	22-@cdfbhhb4	历史视频	https://www.tiktok.com/@cdfbhhb4/video/7556222885635886350	钥匙扣	美国	$17.66	2	$0.00	$5.48	¥120.09	¥0.00
181	2026/02/06	@irx1sd1（已弃用）	赵雅如	https://www.tiktok.com/@irx1sd1/video/7603340294284659985	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
182	2026/02/06	@scvkwvn29752（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$212.33	1	$1.18	$171.55	¥84.93	¥0.47
183	2026/02/06	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601055715859434753	经期按摩器	墨西哥	$185.71	1	$3.26	$171.43	¥74.28	¥1.30
184	2026/02/06	@hoo35nini35（已弃用）	涂欣然	https://www.tiktok.com/@hoo35nini35/video/7601431523648195841	经期按摩器	墨西哥	$185.71	1	$3.26	$171.43	¥74.28	¥1.30
185	2026/02/06	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601432378044632336	经期按摩器	墨西哥	$185.71	1	$3.26	$171.43	¥74.28	¥1.30
186	2026/02/06	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7602482655967399169	经期按摩器	墨西哥	$185.71	1	$3.26	$171.43	¥74.28	¥1.30
187	2026/02/06	@hoo35nini35（已弃用）	调整	调整	经期按摩器	墨西哥	-$185.71	-1	-$3.26	-$171.43	-¥74.28	-¥1.30
188	2026/02/06	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7602912919826779400	经期按摩器	墨西哥	$180.00	1	$1.18	$171.55	¥72.00	¥0.47
189	2026/02/06	@dch6ck6937（已弃用）	谢园园	https://www.tiktok.com/@dch6ck6937/video/7602913943710944528	经期按摩器	墨西哥	$179.08	1	$1.18	$171.55	¥71.63	¥0.47
190	2026/02/06	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$74.25	2	$5.83	$54.95	¥504.90	¥39.64
191	2026/02/06	@dch6ck6937（已弃用）	赵雅如	https://www.tiktok.com/@dch6ck6937/video/7603642626105003280	经期按摩器	墨西哥	$179.08	1	$1.18	$171.55	¥71.63	¥0.47
192	2026/02/07	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601432378044632336	经期按摩器	墨西哥	$720.00	4	$8.26	$680.00	¥288.00	¥3.30
193	2026/02/07	29-@xfjb8xuel5	橱窗	橱窗	经期按摩器	墨西哥	$562.50	3	$3.54	$525.00	¥225.00	¥1.42
194	2026/02/07	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7603641319688326401	经期按摩器	墨西哥	$569.00	3	$3.54	$514.65	¥227.60	¥1.42
195	2026/02/07	@scvkwvn29752（已弃用）	谢园园	https://www.tiktok.com/@scvkwvn29752/video/7602479037176352017	经期按摩器	墨西哥	$374.00	2	$2.36	$343.10	¥149.60	¥0.94
196	2026/02/07	@scvkwvn29752（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$374.00	2	$2.36	$343.10	¥149.60	¥0.94
197	2026/02/07	27-@sherollsbright	赵永琪	https://www.tiktok.com/@sherollsbright/video/7601102844627832119	彩色毛巾	美国	$39.41	1	$3.24	$30.15	¥267.99	¥22.03
198	2026/02/07	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$121.61	4	$10.54	$98.07	¥826.95	¥71.67
199	2026/02/07	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$1,668.52	53	$145.41	$1,374.07	¥11,345.93	¥988.76
200	2026/02/07	14-@hisrollroam	赵永琪	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$31.48	1	$2.74	$25.93	¥214.07	¥18.66
201	2026/02/07	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7602907574119173397	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
202	2026/02/07	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7601413343819222292	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
203	2026/02/07	@irx1sd1（已弃用）	涂欣然	https://www.tiktok.com/@irx1sd1/video/7603338846717103377?_r=1&_t=ZS-93gTmfC2oPY	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
204	2026/02/07	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7603636710445976848	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
205	2026/02/07	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7603635601157475600	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
206	2026/02/07	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7602910765598690577	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
207	2026/02/07	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7601055082766994689	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
208	2026/02/07	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7603636986125061377	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
209	2026/02/07	@hoo35nini35（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$180.00	1	$2.07	$170.00	¥72.00	¥0.83
210	2026/02/07	@e7qbf7（已弃用）	谢园园	https://www.tiktok.com/@e7qbf7/video/7603659245317360912	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
211	2026/02/07	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7603661668232563986	经期按摩器	墨西哥	$187.50	1	$1.18	$175.00	¥75.00	¥0.47
212	2026/02/07	29-@xfjb8xuel5	刘茜	https://www.tiktok.com/@xfjb8xuel5/video/7603639796661013767	经期按摩器	墨西哥	$187.50	1	$1.18	$175.00	¥75.00	¥0.47
213	2026/02/07	29-@xfjb8xuel5	涂欣然	https://www.tiktok.com/@xfjb8xuel5/video/7602484119070674194	经期按摩器	墨西哥	$187.50	1	$1.18	$175.00	¥75.00	¥0.47
214	2026/02/07	29-@xfjb8xuel5	刘茜	https://www.tiktok.com/@xfjb8xuel5/video/7601419951903231239	经期按摩器	墨西哥	$187.50	1	$1.18	$175.00	¥75.00	¥0.47
215	2026/02/07	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7603231858767219986	经期按摩器	墨西哥	$187.50	1	$1.18	$175.00	¥75.00	¥0.47
216	2026/02/07	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7602574589377482014	彩色毛巾	美国	$171.31	5	$13.89	$127.68	¥1,164.91	¥94.45
217	2026/02/07	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7603334118419500319	彩色毛巾	美国	$34.26	1	$2.78	$25.54	¥232.99	¥18.90
218	2026/02/07	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7600683169049824542	彩色毛巾	美国	$34.26	1	$2.78	$25.54	¥232.99	¥18.90
219	2026/02/07	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601102284382047518	彩色毛巾	美国	$34.26	1	$2.78	$25.54	¥232.99	¥18.90
220	2026/02/08	@hoo35nini35（已弃用）	谢园园	https://www.tiktok.com/@hoo35nini35/video/7603636710445976848	经期按摩器	墨西哥	$384.24	2	$2.36	$343.10	¥153.70	¥0.94
221	2026/02/08	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7602953179063454989	彩色毛巾	美国	$36.51	1	$2.75	$25.87	¥248.29	¥18.70
222	2026/02/08	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$36.63	1	$2.86	$27.12	¥249.08	¥19.45
223	2026/02/08	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$465.83	14	$39.22	$364.46	¥3,167.64	¥266.70
224	2026/02/08	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$103.40	4	$10.36	$95.93	¥703.12	¥70.45
225	2026/02/08	@c03vfgqsr0（已弃用）	谢园园	https://www.tiktok.com/@c03vfgqsr0/video/7602909039319584021	经期按摩器	墨西哥	$182.25	1	$1.18	$171.55	¥72.90	¥0.47
226	2026/02/08	@c03vfgqsr0（已弃用）	谢园园	https://www.tiktok.com/@c03vfgqsr0/video/7602474704925887764	经期按摩器	墨西哥	$182.25	1	$1.18	$171.55	¥72.90	¥0.47
227	2026/02/08	@c03vfgqsr0（已弃用）	谢园园	https://www.tiktok.com/@c03vfgqsr0/video/7602176456277380373	经期按摩器	墨西哥	$182.25	1	$1.18	$171.55	¥72.90	¥0.47
228	2026/02/08	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7602175613532654868	经期按摩器	墨西哥	$182.25	1	$1.18	$171.55	¥72.90	¥0.47
229	2026/02/08	@irx1sd1（已弃用）	涂欣然	https://www.tiktok.com/@irx1sd1/video/7603664386347060481	经期按摩器	墨西哥	$184.50	1	$1.18	$171.55	¥73.80	¥0.47
230	2026/02/08	@irx1sd1（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$184.50	1	$1.18	$171.55	¥73.80	¥0.47
231	2026/02/08	@scvkwvn29752（已弃用）	涂欣然	https://www.tiktok.com/@scvkwvn29752/video/7602177607366413584	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
232	2026/02/08	@hoo35nini35（已弃用）	刘茜	https://www.tiktok.com/@hoo35nini35/video/7603665534848208129	经期按摩器	墨西哥	$192.12	1	$1.18	$171.55	¥76.85	¥0.47
233	2026/02/08	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7603636986125061377	经期按摩器	墨西哥	$192.12	1	$1.18	$171.55	¥76.85	¥0.47
234	2026/02/08	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7603641204235848968	经期按摩器	墨西哥	$215.16	1	$1.18	$171.55	¥86.06	¥0.47
235	2026/02/08	29-@xfjb8xuel5	谢园园	https://www.tiktok.com/@xfjb8xuel5/video/7603668230447648007	经期按摩器	墨西哥	$215.16	1	$1.18	$171.55	¥86.06	¥0.47
236	2026/02/08	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7603334118419500319	彩色毛巾	美国	$141.38	5	$13.49	$126.28	¥961.38	¥91.73
237	2026/02/08	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7602574589377482014	彩色毛巾	美国	$28.28	1	$2.70	$25.26	¥192.30	¥18.36
238	2026/02/08	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7603641319688326401	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
239	2026/02/08	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7603661443707194625	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
240	2026/02/08	35-@chen36239	历史视频	历史视频	父亲节手环	美国	$11.98	1	$0.06	$5.48	¥81.46	¥0.41
241	2026/02/08	05-@hisrollerjourneys	邵佳运	https://www.tiktok.com/@hisrollerjourneys/video/7601436885545667870	彩色毛巾	美国	$64.84	2	$6.48	$59.66	¥440.91	¥44.06
242	2026/02/09	@e7qbf7（已弃用）	谢园园	https://www.tiktok.com/@e7qbf7/video/7604700799033167120	经期按摩器	墨西哥	$909.09	5	$5.90	$863.63	¥363.64	¥2.36
243	2026/02/09	@e7qbf7（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$545.45	3	$3.54	$518.18	¥218.18	¥1.42
244	2026/02/09	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7603641319688326401	经期按摩器	墨西哥	$514.28	3	$3.54	$514.28	¥205.71	¥1.42
245	2026/02/09	@kkuytr0（已弃用）	谢园园	https://www.tiktok.com/@kkuytr0/video/7604825235388419348	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
246	2026/02/09	@kkuytr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
247	2026/02/09	@c03vfgqsr0（已弃用）	谢园园	https://www.tiktok.com/@c03vfgqsr0/video/7602909039319584021	经期按摩器	墨西哥	$163.07	1	$6.43	$151.47	¥65.23	¥2.57
248	2026/02/09	@c03vfgqsr0（已弃用）	刘茜	https://www.tiktok.com/@c03vfgqsr0/video/7600313669779541268	经期按摩器	墨西哥	$163.07	1	$6.43	$151.47	¥65.23	¥2.57
249	2026/02/09	@c03vfgqsr0（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$163.07	1	$6.43	$151.47	¥65.23	¥2.57
250	2026/02/09	@irx1sd1（已弃用）	涂欣然	https://www.tiktok.com/@irx1sd1/video/7603664429665848592	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
251	2026/02/09	@scvkwvn29752（已弃用）	刘茜	https://www.tiktok.com/@scvkwvn29752/video/7604697145077288208	经期按摩器	墨西哥	$180.00	1	$5.62	$171.55	¥72.00	¥2.25
252	2026/02/09	@scvkwvn29752（已弃用）	赵雅如	https://www.tiktok.com/@scvkwvn29752/video/7601427507774082320	经期按摩器	墨西哥	$180.00	1	$5.62	$171.55	¥72.00	¥2.25
253	2026/02/09	@hoo35nini35（已弃用）	赵雅如	https://www.tiktok.com/@hoo35nini35/video/7601432378044632336	经期按摩器	墨西哥	$180.00	1	$1.18	$171.55	¥72.00	¥0.47
254	2026/02/09	@e7qbf7（已弃用）	刘茜	https://www.tiktok.com/@e7qbf7/video/7604699115468967184	经期按摩器	墨西哥	$181.82	1	$1.18	$172.73	¥72.73	¥0.47
255	2026/02/09	@e7qbf7（已弃用）	谢园园	https://www.tiktok.com/@e7qbf7/video/7603667170677099777	经期按摩器	墨西哥	$181.82	1	$1.18	$172.73	¥72.73	¥0.47
256	2026/02/09	@e7qbf7（已弃用）	刘茜	https://www.tiktok.com/@e7qbf7/video/7603667090465115409	经期按摩器	墨西哥	$181.82	1	$1.18	$172.73	¥72.73	¥0.47
257	2026/02/09	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7602912919826779400	经期按摩器	墨西哥	$186.00	1	$1.18	$171.55	¥74.40	¥0.47
258	2026/02/09	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7601422420334972178	经期按摩器	墨西哥	$186.00	1	$1.18	$171.55	¥74.40	¥0.47
259	2026/02/09	29-@xfjb8xuel5	刘茜	https://www.tiktok.com/@xfjb8xuel5/video/7603668171832216850	经期按摩器	墨西哥	$186.00	1	$1.18	$171.55	¥74.40	¥0.47
260	2026/02/09	@dch6ck6937（已弃用）	谢园园	https://www.tiktok.com/@dch6ck6937/video/7603669220441804048	经期按摩器	墨西哥	$171.43	1	$1.18	$171.43	¥68.57	¥0.47
261	2026/02/09	@dch6ck6937（已弃用）	谢园园	https://www.tiktok.com/@dch6ck6937/video/7603661734318050577	经期按摩器	墨西哥	$171.43	1	$1.18	$171.43	¥68.57	¥0.47
262	2026/02/09	@dch6ck6937（已弃用）	刘茜	https://www.tiktok.com/@dch6ck6937/video/7602913169543073040	经期按摩器	墨西哥	$171.43	1	$1.18	$171.43	¥68.57	¥0.47
263	2026/02/09	@dch6ck6937（已弃用）	橱窗	橱窗	经期按摩器	墨西哥	$171.43	1	$1.18	$171.43	¥68.57	¥0.47
264	2026/02/09	@ggrtyr1（已弃用）	谢园园	https://www.tiktok.com/@ggrtyr1/video/7604825904279309589	经期按摩器	墨西哥	$199.00	1	$1.18	$171.55	¥79.60	¥0.47
265	2026/02/09	42-@skateunboundtales	赵永琪	https://www.tiktok.com/@skateunboundtales/video/7601114859945643295	彩色毛巾	美国	$36.51	1	$2.75	$25.87	¥248.27	¥18.70
266	2026/02/09	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7602228448882445623	彩色毛巾	美国	$151.22	5	$13.68	$126.36	¥1,028.30	¥93.02
267	2026/02/09	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7603725772271996173	兔毛毯	美国	$60.49	2	$5.47	$50.55	¥411.33	¥37.20
268	2026/02/09	14-@hisrollroam	邵佳运	https://www.tiktok.com/@hisrollroam/video/7601479629483953463	彩色毛巾	美国	$30.24	1	$2.74	$25.27	¥205.63	¥18.63
269	2026/02/09	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7602574589377482014	彩色毛巾	美国	$35.51	1	$2.40	$22.82	¥241.47	¥16.32
270	2026/02/09	43-@rollervibe2	赵永琪	https://www.tiktok.com/@rollervibe2/video/7601490815260609822	彩色毛巾	美国	$35.51	1	$2.40	$22.82	¥241.47	¥16.32
271	2026/02/09	43-@rollervibe2	邵佳运	https://www.tiktok.com/@rollervibe2/video/7604825463055338782	兔毛毯	美国	$15.29	1	$2.40	$22.82	¥103.97	¥16.32
272	2026/02/09	19-@skateunboundvibes	赵永琪	https://www.tiktok.com/@skateunboundvibes/video/7601476754217241886	彩色毛巾	美国	$24.96	1	$2.75	$24.83	¥169.73	¥18.70
273	2026/02/09	02-@glidefreerollers	赵永琪	https://www.tiktok.com/@glidefreerollers/video/7602573856544541982	彩色毛巾	美国	$55.04	2	$5.50	$50.64	¥374.27	¥37.40
274	2026/02/10	@irx1sd1（已弃用）	赵雅如	https://www.tiktok.com/@irx1sd1/video/7604696772207742224	经期按摩器	墨西哥	$189.00	1	$1.18	$171.55	¥75.60	¥0.47
275	2026/02/10	@e7qbf7（已弃用）	赵雅如	https://www.tiktok.com/@e7qbf7/video/7603639058765532417	经期按摩器	墨西哥	$180.00	1	$1.18	$171.55	¥72.00	¥0.47
276	2026/02/10	@e7qbf7（已弃用）	谢园园	https://www.tiktok.com/@e7qbf7/video/7604700799033167120	经期按摩器	墨西哥	$180.00	1	$1.18	$171.55	¥72.00	¥0.47
277	2026/02/10	@e7qbf7（已弃用）	调整	调整	经期按摩器	墨西哥	-$180.00	-1	-$1.18	-$171.55	-¥72.00	-¥0.47
278	2026/02/10	29-@xfjb8xuel5	赵雅如	https://www.tiktok.com/@xfjb8xuel5/video/7602912919826779400	经期按摩器	墨西哥	$468.00	2	$2.54	$368.96	¥187.20	¥1.02
279	2026/02/10	29-@xfjb8xuel5	刘茜	https://www.tiktok.com/@xfjb8xuel5/video/7603668171832216850	经期按摩器	墨西哥	$234.00	1	$1.27	$184.48	¥93.60	¥0.51
280	2026/02/10	29-@xfjb8xuel5	橱窗	橱窗	经期按摩器	墨西哥	$234.00	1	$1.27	$184.48	¥93.60	¥0.51
281	2026/02/10	@dch6ck6937（已弃用）	赵雅如	https://www.tiktok.com/@dch6ck6937/video/7603661799929449745	经期按摩器	墨西哥	$190.93	1	$1.18	$171.55	¥76.37	¥0.47
282	2026/02/10	@dch6ck6937（已弃用）	赵雅如	https://www.tiktok.com/@dch6ck6937/video/7603642626105003280	经期按摩器	墨西哥	$190.93	1	$1.18	$171.55	¥76.37	¥0.47
283	2026/02/10	27-@sherollsbright	邵佳运	https://www.tiktok.com/@sherollsbright/video/7605163315043650830	驱鼠球	美国	$53.98	2	$6.48	$49.53	¥367.06	¥44.06
284	2026/02/10	34-@skatejoynest	邵佳运	https://www.tiktok.com/@skatejoynest/video/7605163395079261454	驱鼠球	美国	$53.98	2	$6.48	$50.55	¥367.06	¥44.06
